Date,JPP915,JPDH,JPClose,NKD,NKN,JPResid,JPVol,USDH,USP1000,USClose,SPD,SPN,USResid,USVol,NKDSPNSE,SPDNKNSE,NKDSPNOLS,SPDNKNOLS
2010-11-19,10088,0,10068,-0.00198452138954899,0,-0.00124687256414187,0.00807740312456434,0,1189.5,1197.75,0.00691174602021922,-0.00440390771525528,-0.00470101761863358,0.00618702927402315,0.0199668317363585,0.430120309013962,,
2010-11-30,10068,1,9943,-0.0124932912751329,0.0282602714310036,-0.0124704360945492,0.00722246653231321,0,1179.25,1179.5,0.000211976683358592,-0.00633983526705639,-0.00662606979759522,0.00654259099521066,0.0194559650905011,0.41995498775817,,
2010-12-03,10228,0,10185,-0.00421300775017103,-0.00660003380902477,-0.00389240206164814,0.00909078203637572,0,1218.5,1223.75,0.00429932077945917,-0.0018448298765087,-0.00215631579597072,0.00595363994517563,0.018979999245141,0.410371392600973,,
2010-12-07,10118,0,10168,0.00492951801740855,0.00607904607638219,0.00480830866754817,0.00827186378354099,0,1230.75,1223,-0.00631688295113757,0.0069303171795551,0.00656953551249803,0.00530770023680417,0.0185352691959375,0.401414712618658,,
2010-12-10,10230,0,10210,-0.00195694778696092,0.00974666585229447,-0.00180140011662894,0.00766064895137265,0,1229.75,1235,0.00426007338662845,0.00162767075609523,0.00129667752654316,0.00488959530928265,0.0181253549499945,0.393101532015285,,
2010-12-17,10310,0,10295,-0.00145595754911574,-0.00213924624562614,-0.00122035363420183,0.00687767570462627,0,1236.5,1239.75,0.00262493840777232,-0.00121236628307056,-0.0015274051647184,0.00560187462876354,0.0177491658485519,0.385400287019699,,
2010-12-21,10273,0,10343,0.00679086816154005,0.00337821854988137,0.0067670282016445,0.00616380325164998,0,1246.75,1249.75,0.00240336586744777,0.00361591394380201,0.00327375145022363,0.00489872224395568,0.0174059957111508,0.378304789803871,,
2010-12-22,10378,0,10328,-0.00482952740120654,0.0177539330493525,-0.00473293298182364,0.00623607133089511,0,1251.5,1254,0.001995610321037,0.00139930057814908,0.00106959025343932,0.00465502208219858,0.017095348956023,0.371796499785293,,
2011-01-07,10513,0,10548,0.00332368189734645,-0.000474135896227701,0.00373406721827488,0.00593661129532769,0,1268.5,1267.25,-0.000985901686877865,-0.000984930642017857,-0.00130124717860228,0.00417319521068999,0.0168137333107656,0.365846242953301,,
2011-01-21,10350,0,10285,-0.00629999660645764,0.00320341971753764,-0.00689577022216027,0.00640502084040462,0,1287.25,1280,-0.0056480820125879,0.00779883071534331,0.00743317003899219,0.00466244187377175,0.0165595391213972,0.360421829514059,,
2011-01-24,10318,1,10338,0.00193648395138933,0.00405445096389501,0.00202926288854404,0.00645046540844683,1,1279.25,1287.25,0.00623419124104949,-0.000586109228461682,-0.000658713492528932,0.00503678982611634,0.0163292176308114,0.355364351326875,,
2011-01-28,10380,0,10370,-0.000963855496306628,0.0327276066841044,-0.00117161076175946,0.00679287535092304,0,1295.5,1272.75,-0.0177168072197192,-0.000385876910055315,-0.000705558723754529,0.00445064775198694,0.0161240825216422,0.350924786331006,,
2011-02-15,10715,0,10723,0.000746338312468301,0.00418780566436331,0.00148356669566472,0.00608735681149494,0,1327.25,1325.75,-0.00113079544654153,-0.00188182215864609,-0.0021931002682342,0.00561686096054075,0.0159405403691686,0.347087216670515,,
2011-02-16,10768,0,10803,0.00324510043247587,-0.0139823307057873,0.0033593663958048,0.0054807492312986,0,1332.25,1333.75,0.0011252814390714,0.00489090515965228,0.00454158020546089,0.0052285416289385,0.0157768629147027,0.343418517870736,,
2011-02-23,10653,0,10570,-0.00782174274691432,0.0112889251548075,-0.00810409174648026,0.00511771609520025,0,1311.5,1306,-0.00420248947055204,-0.00190439973762742,-0.00221555101416901,0.00718809023441918,0.0156315604649786,0.340110941499106,,
2011-03-01,10690,0,10763,0.00680560124520739,-0.0176216013498196,0.00707486936074037,0.00576843313296087,0,1326.5,1304.5,-0.0167240690010112,-0.000188448130209959,-0.000509239030655762,0.00546159491171536,0.0155043627212525,0.337149827128251,,
2011-03-02,10575,0,10503,-0.00683179429170338,0.00399088329009952,-0.00719358073532826,0.00599653053092298,0,1307.25,1307.25,0,0.00210586849145685,0.00177218891206786,0.00870273038882957,0.0153916966708465,0.334682558407136,,
2011-03-08,10545,0,10550,0.000474045991337567,0.00802458873012493,0.000584013563142581,0.00619607407915379,0,1311.5,1321.25,0.007406737877519,0.00152613535916184,0.00119571252042683,0.00848703267424647,0.0152928652043771,0.332273931383497,,
2011-03-09,10635,0,10593,-0.0039570430378415,-0.02999314558734,-0.00375902835946372,0.00554494644118994,0,1315.75,1319.25,0.00265654805188896,-0.00417141295055902,-0.00446982892928448,0.00824692876338014,0.0152050841458039,0.330164326340939,,
2011-03-11,10280,0,10100,-0.0176648361798053,-0.0502516276266938,-0.0182966668024479,0.00522292589153874,0,1290.5,1299,0.00656499751193109,0.000581339033909311,0.000256223734852078,0.0070745894235454,0.0151295851822254,0.328258617006508,,
2011-03-14,9605,1,9530,-0.00783907855440921,-0.0417843322000521,-0.00891310823041406,0.00917615376477646,1,1293.5,1291.25,-0.0017409811922355,-0.00424301504451567,-0.00429507607381599,0.00696432455224625,0.0150733809681402,0.326071305756165,,
2011-03-15,9140,0,8570,-0.0643926528563702,0.04817876432269,-0.0656009700831289,0.00968359960290207,0,1259,1276.75,0.0140000314834061,-0.0252929863895011,-0.0254727486583338,0.0064108392113153,0.0150201853075729,0.324642746318892,,
